,pl,be,uk,ru,bg,sl,cs,gender,en
1921,Patrick Maynard Stuart Blackett,Патрык Мейнард Сцюарт Блэкет,Патрік Блекетт,Патрик Блэкетт,Патрик Блакет,Patrick Maynard Stuart Blackett,Patrick Maynard Stuart Blackett,m,Patrick Blackett
1922,Siergiej Dowłatow,Сяргей Данатавіч Даўлатаў,Сергій Довлатов,Сергей Довлатов,Сергей Довлатов,Sergej Dovlatov,Sergej Dovlatov,m,Sergei Dovlatov
1923,Cecil Frank Powell,Сесіл Фрэнк Паўэл,Френк Сесіль,Сесил Пауэлл,Сесил Франк Поуел,Cecil Frank Powell,Cecil Powell,m,C. F. Powell
1924,Napoleon III Bonaparte,Напалеон III,Наполеон III Бонапарт,Наполеон III,Наполеон III,Napoleon III,Napoleon III,m,Napoleon III
1925,Guillaume François Antoine de l’Hospital,Гіём Франсуа Лапіталь,Гійом де Лопиталь,Гийом Лопиталь,Гийом Франсоа дьо Лопитал,Guillaume de l'Hôpital,Guillaume de l'Hôpital,m,Guillaume de l'Hôpital
1926,Jean Bodin,Жан Бадэн,Жан Боден,Жан Боден,Жан Боден,Jean Bodin,Jean Bodin,m,Jean Bodin
1927,Charles Robert Richet,Шарль Рышэ,Шарль Робер Ріше,Шарль Рише,Шарл Рише,Charles Robert Richet,Charles Richet,m,Charles Richet
1928,Denis Papin,Дэні Папен,Дені Папен,Дени Папен,Дени Папен,Denis Papin,Denis Papin,m,Denis Papin
1929,Ray Bradbury,Рэй Брэдберы,Рей Бредбері,Рэй Брэдбери,Рей Бредбъри,Ray Bradbury,Ray Bradbury,m,Ray Bradbury
1930,Jan Neruda,Ян Неруда,Ян Неруда,Ян Неруда,Ян Неруда,Jan Neruda,Jan Neruda,m,Jan Neruda
1931,Pliniusz Starszy,Пліній Старэйшы,Пліній Старший,Плиний Старший,Плиний Стари,Plinij starejši,Plinius starší,m,Pliny the Elder
1932,Max Scheler,Макс Шэлер,Макс Шелер,Макс Шелер,Макс Шелер,Max Scheler,Max Scheler,m,Max Scheler
1933,Allvar Gullstrand,Альвар Гульстранд,Альвар Гульстранд,Альвар Гульстранд,Алвар Гулстранд,Allvar Gullstrand,Allvar Gullstrand,m,Allvar Gullstrand
1934,Andreas Vesalius,Андрэас Везалій,Андреас Везалій,Андреас Везалий,Андреас Везалий,Andreas Vesalius,Andreas Vesalius,m,Andreas Vesalius
1935,Abu Bakr,Абу Бакр,Абу-Бакр,Абу Бакр ас-Сиддик,Абу Бакър,Abu Bakr,Abú Bakr,m,Abu Bakr
1936,Jules Bordet,Жуль Бардэ,Жуль Борде,Жюль Борде,Жул Борде,Jules Bordet,Jules Bordet,m,Jules Bordet
1937,Frits Zernike,Фрыц Цэрніке,Фріц Церніке,Фриц Цернике,Фриц Цернике,Frits Zernike,Frits Zernike,m,Frits Zernike
1938,Carl Zeiss ,Карл Фрыдрых Цэйс,Карл Цайс,Карл Цейс,Карл Цайс,Carl Zeiss,Carl Zeiss,m,Carl Zeiss
1939,William Wallace,Уільям Уолес,Вільям Воллес,Уильям Уоллес,Уилям Уолъс,William Wallace,William Wallace,m,William Wallace
1940,Rudolf Caracciola,Рудольф Карачыёла,Рудольф Караччіола,Рудольф Караччола,Рудолф Карачиола,Rudolf Caracciola,Rudolf Caracciola,m,Rudolf Caracciola
1941,Odoaker,Адаакр,Одоакр,Одоакр,Одоакър,Odoaker,Odoaker,m,Odoacer
1942,Lope de Vega,Лопэ дэ Вэга,Лопе де Вега,Лопе де Вега,Лопе де Вега,Lope de Vega,Lope de Vega,m,Lope de Vega
1943,Ludwik Filip I,Луі-Філіп I,Луї-Філіпп I,Луи-Филипп I,Луи-Филип,Ludvik-Filip I. Francoski,Ludvík Filip,m,Louis Philippe I
1944,Daniel Defoe,Даніэль Дэфо,Данієль Дефо,Даниель Дефо,Даниел Дефо,Daniel Defoe,Daniel Defoe,m,Daniel Defoe
1945,Humphry Davy,Гемфры Дэві,Гамфрі Деві,Гемфри Дэви,Хъмфри Дейви,Humphry Davy,Humphry Davy,m,Humphry Davy
1946,Peter Debye,Петэр Іозеф Вільгельм Дэбай,Петер Дебай,Петер Дебай,Петер Дебай,Peter Joseph William Debye,Peter Debye,m,Peter Debye
1947,Bret Harte,Фрэнсіс Брэт Гарт,Брет Френсіс,Брет Гарт,Франсис Брет Харт,Bret Harte,Francis Bret Harte,m,Bret Harte
1948,Marcel Marceau,Марсель Марсо,Марсель Марсо,Марсель Марсо,Марсел Марсо,Marcel Marceau,Marcel Marceau,m,Marcel Marceau
1949,Johann Gottfried Herder,Іаган Готфрыд Гердэр,Йоганн-Готфрід Гердер,Иоганн Гердер,Йохан Готфрид фон Хердер,Johann Gottfried Herder,Johann Gottfried Herder,m,Johann Gottfried Herder
1950,Louis de Saint-Just,Луі Антуан Сен-Жуст,Луї Антуан Сен-Жуст,Луи Сен-Жюст,Луи Антоан дьо Сен Жюст,Louis Antoine Léon de Saint-Just,Louis de Saint-Just,m,Louis Antoine de Saint-Just
1951,Emil Theodor Kocher,Эміль Тэадор Кохер,Еміль Теодор Кохер,Эмиль Кохер,Емил Теодор Кохер,Emil Theodor Kocher,Emil Theodor Kocher,m,Emil Theodor Kocher
1952,Hans Adolf Krebs,Ханс Адольф Крэбс,Ганс Адольф Кребс,Ханс Кребс,Ханс Адолф Кребс,Hans Adolf Krebs,Hans Adolf Krebs,m,Hans Krebs
1953,Otto Heinrich Warburg,Ота Генрых Варбург,Отто Генріх Варбург,Отто Варбург,Ото Варбург,Otto Heinrich Warburg,Otto Heinrich Warburg,m,Otto Heinrich Warburg
1954,Johann Heinrich Lambert,Іаган Генрых Ламберт,Йоганн Генріх Ламберг,Иоганн Ламберт,Йохан Ламберт,Johann Heinrich Lambert,Johann Heinrich Lambert,m,Johann Heinrich Lambert
1955,Melvin Schwartz,Мелвін Шварц,Мелвін Шварц,Мелвин Шварц,Мелвин Шварц,Melvin Schwartz,Melvin Schwartz,m,Melvin Schwartz
1956,Robert B. Laughlin,Роберт Лафлін,Роберт Лафлін,Роберт Лафлин,Робърт Лафлин,Robert Betts Laughlin,Robert B. Laughlin,m,Robert B. Laughlin
1957,Jöns Jacob Berzelius,Ёнс Якаб Берцэліус,Єнс Якоб Берцеліус,Йёнс Берцелиус,Йонс Берцелиус,Jöns Jacob Berzelius,Jöns Jacob Berzelius,m,Jöns Jacob Berzelius
1958,Édouard Daladier,Эдуар Даладзье,Едуар Даладьє,Эдуар Даладье,Едуар Даладие,Édouard Daladier,Édouard Daladier,m,Édouard Daladier
