,pl,be,uk,ru,bg,sl,cs,gender,en
3701,Albert Kesselring,Альберт Кесельрынг,Альберт Кессельрінг,Альберт Кессельринг,Алберт Кеселринг,Albert Kesselring,Albert Kesselring,m,Albert Kesselring
3702,Paul Hindemith,Паўль Хіндэміт,Пауль Гіндеміт,Пауль Хиндемит,Паул Хиндемит,Paul Hindemith,Paul Hindemith,m,Paul Hindemith
3703,Gareth Bale,Гарэт Бэйл,Гарет Бейл,Гарет Бейл,Гарет Бейл,Gareth Bale,Gareth Bale,m,Gareth Bale
3704,Emilio De Bono,Эміліа Дэ Бона,Еміліо Де Боно,Эмилио Де Боно,Емилио Де Боно,Emilio De Bono,Emilio De Bono,m,Emilio De Bono
3705,Danilo,Данілу Луіс да Сілва,Даніло Луїс да Сілва,Данило Да Силва,Данило,Danilo Luiz da Silva,Danilo Luiz da Silva,m,Danilo
3706,Alexandre Pato,Алешандры Пату,Алешандре Пату,Алешандре Пато,Алешандре Пато,Alexandre Pato,Alexandre Pato,m,Alexandre Pato
3707,Wesley Sneijder,Уэслі Снейдэр,Веслі Снейдер,Уэсли Снейдер,Уесли Снейдер,Wesley Sneijder,Wesley Sneijder,m,Wesley Sneijder
3708,Benedikt Höwedes,Бенедыкт Хёведэс,Бенедикт Геведес,Бенедикт Хёведес,Бенедикт Хьоведес,Benedikt Höwedes,Benedikt Höwedes,m,Benedikt Höwedes
3709,Philipp Lahm,Філіп Лам,Філіпп Лам,Филипп Лам,Филип Лам,Philipp Lahm,Philipp Lahm,m,Philipp Lahm
3710,Zvjezdan Misimović,Звяздан Місімавіч,Звєздан Мисимович,Звездан Мисимович,Звездан Мисимович,Zvjezdan Misimović,Zvjezdan Misimović,m,Zvjezdan Misimović
3711,Mats Hummels,Матс Хумельс,Матс Гуммельс,Матс Хуммельс,Матс Хумелс,Mats Hummels,Mats Hummels,m,Mats Hummels
3712,Sami Khedira,Самі Хедзіра,Самі Хедіра,Сами Хедира,Сами Кедира,Sami Khedira,Sami Khedira,m,Sami Khedira
3713,Bastian Schweinsteiger,Басціян Швайнштайгер,Бастіан Швайнштайгер,Бастиан Швайнштайгер,Бастиан Швайнщайгер,Bastian Schweinsteiger,Bastian Schweinsteiger,m,Bastian Schweinsteiger
3714,Mesut Özil,Месут Озіль,Месут Езіл,Месут Озиль,Месут Йозил,Mesut Özil,Mesut Özil,m,Mesut Özil
3715,André Schürrle,Андрэ Шурле,Андре Шюррле,Андре Шюррле,Андре Шюрле,André Schürrle,André Schürrle,m,André Schürrle
3716,Mario Götze,Марыа Гётцэ,Маріо Гетце,Марио Гётце,Марио Гьоце,Mario Götze,Mario Götze,m,Mario Götze
3717,Lukas Podolski,Лукаш Падольскі,Лукас Подольскі,Лукас Подольски,Лукас Подолски,Lukas Podolski,Lukas Podolski,m,Lukas Podolski
3718,Thomas Müller ,Томас Мюлер,Томас Мюллер,Томас Мюллер,Томас Мюлер,Thomas Müller,Thomas Müller ,m,Thomas Müller
3719,Julian Draxler,Юліян Дракслер,Юліан Дракслер,Юлиан Дракслер,Юлиан Дракслер,Julian Draxler,Julian Draxler,m,Julian Draxler
3720,Per Mertesacker,Пер Мертэзакер,Пер Мертезакер,Пер Мертезакер,Пер Мертесакер,Per Mertesacker,Per Mertesacker,m,Per Mertesacker
3721,Toni Kroos,Тоні Кроас,Тоні Кроос,Тони Кроос,Тони Кроос,Toni Kroos,Toni Kroos,m,Toni Kroos
3722,Jérôme Boateng,Жэром Баатэнг,Жером Боатенг,Жером Боатенг,Жером Боатенг,Jérôme Boateng,Jérôme Boateng,m,Jérôme Boateng
3723,Michał Waleczny,Міхай Храбры,Михайло Хоробрий,Михай Храбрый,Михай Витязул,Mihael Hrabri,Michal Chrabrý,m,Michael the Brave
3724,Wiktor Ambarcumian,Віктар Амазаспавіч Амбарцумян,Віктор Амбарцумян,Виктор Амбарцумян,Виктор Амбарцумян,Viktor Amazaspovič Ambarcumjan,Viktor Amazaspovič Ambarcumjan,m,Viktor Ambartsumian
3725,Edi Rama,Эдзі Рама,Еді Рама,Эди Рама,Еди Рама,Edi Rama,Edi Rama,m,Edi Rama
3726,Inva Mula,Інва Мула,Інва Мула,Инва Мула,Инва Мула,Inva Mula,Inva Mula,m,Inva Mula
3727,Artiom Mikojan,Арцём Іванавіч Мікаян,Артем Мікоян,Артём Микоян,Артьом Микоян,Artem Mikojan,Arťom Mikojan,m,Artem Mikoyan
3728,Robert Lewandowski,Роберт Левандоўскі,Роберт Левандовський,Роберт Левандовский,Роберт Левандовски,Robert Lewandowski,Robert Lewandowski,m,Robert Lewandowski
3729,Olivia Wilde,Алівія Уайлд,Олівія Вайлд,Оливия Уайлд,Оливия Уайлд,Olivia Wilde,Olivia Wildeová,f,Olivia Wilde
3730,Chaczatur Abowian,Хачатур Абавян,Хачатур Абовян,Хачатур Абовян,Хачатур Абовян,Hačatur Abovjan,Chačatur Abovjan,m,Khachatur Abovian
3731,Michael Owen,Майкл Оўэн,Майкл Оуен,Майкл Оуэн,Майкъл Оуен,Michael Owen,Michael Owen,m,Michael Owen
3732,Paul Scholes,Пол Скоўлз,Пол Скоулз,Пол Скоулз,Пол Скоулс,Paul Scholes,Paul Scholes,m,Paul Scholes
3733,Ashley Cole,Эшлі Коўл,Ешлі Коул,Эшли Коул,Ашли Коул,Ashley Cole,Ashley Cole,m,Ashley Cole
3734,Rio Ferdinand,Рыа Фердынанд,Ріо Фердінанд,Рио Фердинанд,Рио Фърдинанд,Rio Ferdinand,Rio Ferdinand,m,Rio Ferdinand
3735,John Terry,Джон Тэры,Джон Террі,Джон Терри,Джон Тери,John Terry,John Terry,m,John Terry
3736,Theo Walcott,Тэа Уолкат,Тео Волкотт,Тео Уолкотт,Тио Уолкът,Theo Walcott,Theo Walcott,m,Theo Walcott
3737,Henryk Karyncki,Генрых Харутанскі,Генріх Хорутанський,Генрих Хорутанский,Индржих Корутански ,Henrik Koroški,Jindřich Korutanský,m,Henry of Bohemia
3738,Stefan Löfven,Стэфан Лёвен,Стефан Левен,Стефан Лёвен,Стефан Льовен,Stefan Löfven,Stefan Löfven,m,Stefan Löfven
3739,Joseph Muscat,Джозеф Мускат,Джозеф Мускат,Джозеф Мускат,Джоузеф Мускат,Joseph Muscat,Joseph Muscat,m,Joseph Muscat
3740,Hernán Crespo,Эрнан Крэспа,Ернан Креспо,Эрнан Креспо,Ернан Креспо,Hernán Crespo,Hernán Crespo,m,Hernán Crespo
3741,Giuseppe Farina,Джузэпэ Фарына,Джузеппе Фаріна,Джузеппе Фарина,Джузепе Фарина,Giuseppe Farina,Giuseppe Farina,m,Giuseppe Farina
3742,Sergio Ramos,Серхіа Рамас,Серхіо Рамос,Серхио Рамос,Серхио Рамос,Sergio Ramos,Sergio Ramos,m,Sergio Ramos
3743,Carles Puyol,Карлес Пуёль,Карлес Пуйоль,Карлес Пуйоль,Карлес Пуйол,Carles Puyol,Carles Puyol,m,Carles Puyol
3744,Pauzaniasz ,Паўсаній ,Павсаній,Павсаний ,Павзаний,Pavzanij ,Pausaniás,m,Pausanias
3745,Jean-Baptiste Bessières,Жан-Батыст Бесьер,Жан-Батист Бессьєр,Жан-Батист Бессьер,Жан Батист Бесиер,Jean-Baptiste Bessières,Jean-Baptiste Bessières,m,Jean-Baptiste Bessières
3746,Elżbieta Bośniaczka,Лізавета Баснійская,Єлизавета Боснійська,Елизавета Боснийская,Елизабета Котроманич,Elizabeta Kotromanić,Alžběta Bosenská,f,Elizabeth of Bosnia
3747,Konstantyn VII Porfirogeneta,Канстанцін VII Парфірародны,Костянтин VII Багрянородний,Константин VII Багрянородный,Константин VII Багренородни,Konstantin VII. Porfirogenet,Konstantin VII. Porfyrogennetos,m,Constantine VII
3748,Aleksander ,Аляксандр ,Олександр ,Александр ,Александър ,Aleksander ,Alexandr ,m,Alexander
3749,Jan Skylitzes,Іаан Скіліца,Іоанн Скіліца,Иоанн Скилица,Йоан Скилица,Ivan Skilica,Ioannes Skylitzes,m,John Skylitzes
3750,Konstantyn IX Monomach,Канстанцін IX Манамах,Костянтин IX Мономах,Константин IX Мономах,Константин IX Мономах,Konstantin IX. Monomah,Konstantin IX. Monomachos,m,Constantine IX Monomachos
3751,Andrzej I węgierski,Андраш I,Андрій I,Андраш I,Андраш I,Andrej I. Ogrski,Ondřej I,m,Andrew I of Hungary
3752,Taksony,Такшань,Такшонь,Такшонь ,Такшон,Taksony Madžarski,Takšoň,m,Taksony of Hungary
3753,Elżbieta z Turyngii,Лізавета Венгерская,Єлизавета Угорська,Елизавета Венгерская,Елисавета Унгарска,Elizabeta Ogrska,Alžběta Durynská,f,Elizabeth of Hungary
3754,Mario Gómez,Марыа Гомес,Маріо Гомес,Марио Гомес,Марио Гомес,Mario Gómez,Mario Gómez,m,Mario Gómez
3755,Fryderyk Wilhelm I Pruski,Фрыдрых Вільгельм I,Фрідріх-Вільгельм I,Фридрих Вильгельм I,Фридрих Вилхелм I,Friderik Viljem I. Pruski,Fridrich Vilém I,m,Frederick William I of Prussia
3756,Eugène Ionesco,Эжэн Іанеско,Ежен Йонеско,Эжен Ионеско,Йожен Йонеско,Eugène Ionesco,Eugène Ionesco,m,Eugène Ionesco
3757,Zaha Hadid,Заха Хадзід,Заха Хадід,Заха Хадид,Заха Хадид,Zaha Hadid,Zaha Hadid,m,Zaha Hadid
3758,Mircza Stary,Мірча I Стары,Мірча I Старий,Мирча I Старый,Мирча Стари,Mircea I. Vlaški,Mircea I,m,Mircea the Elder
3759,Radu I,Раду I,Раду I,Раду I,Раду I,Radu I. Vlaški,Radu I,m,Radu I of Wallachia
3760,Basarab I,Басараб I Заснавальнік,Басараб I,Басараб I,Иванко I Басараб,Basarab I. Vlaški,Basarab I,m,Basarab I of Wallachia
3761,Inge Lehmann,Інге Леман,Інге Леманн,Инге Леманн,Инге Леман,Inge Lehmann,Inge Lehmannová,f,Inge Lehmann
3762,Keylor Navas,Кейлар Навас,Кейлор Навас,Кейлор Навас,Кейлор Навас,Keylor Navas,Keylor Navas,m,Keylor Navas
3763,Stefan IV Lazarević,Стэфан Лазаравіч,Стефан Лазаревич,Стефан Лазаревич,Стефан Лазаревич,Stefan Lazarević,Stefan Lazarević,m,Stefan Lazarević
3764,Stefan Urosz I,Стэфан Ураш I,Стефан Урош I,Стефан Урош I,Стефан Урош I,Štefan Uroš I,Štěpán Uroš I,m,Stefan Uroš I
3765,Larry Page,Лары Пейдж,Ларрі Пейдж,Ларри Пейдж,Лари Пейдж,Larry Page,Larry Page,m,Larry Page
3766,Mohammad Reza Pahlawi,Махамед Рэза Пехлеві,Мохаммед Реза Пахлаві,Мохаммед Реза Пехлеви,Мохамед Реза Пахлави,Mohamed Reza Pahlavi,Muhammad Rezá Pahlaví,m,Mohammad Reza Pahlavi
3767,Ivan Meštrović,Іван Мештравіч,Іван Мештрович,Иван Мештрович,Иван Мещрович,Ivan Meštrović,Ivan Meštrović,m,Ivan Meštrović
3768,Nikola Pašić,Нікола Пашыч,Нікола Пашич,Никола Пашич,Никола Пашич,Nikola Pašić,Nikola Pašić,m,Nikola Pašić
3769,Måns Zelmerlöw,Монс Сельмерлёў,Монс Сельмерлев,Монс Сельмерлёв,Монс Селмерльов,Måns Zelmerlöw,Måns Zelmerlöw,m,Måns Zelmerlöw
3770,Andrzej Duda,Анджэй Дуда,Анджей Дуда,Анджей Дуда,Анджей Дуда,Andrzej Duda,Andrzej Duda,m,Andrzej Duda
3771,Polina Gagarina,Паліна Гагарына,Поліна Гагаріна,Полина Гагарина,Полина Гагарина,Polina Gagarina,Polina Gagarinová,f,Polina Gagarina
3772,Tvrtko I Kotromanić,Твртко I,Твртко I,Твртко I,Твърдко I,Tvrtko I. Kotromanić,Tvrtko I. Kotromanić,m,Tvrtko I of Bosnia
3773,Elefterios Wenizelos,Элефтэрыяс Венізелас,Елефтеріос Венізелос,Элефтериос Венизелос,Елевтериос Венизелос,Elefterios Venizelos,Eleftherios Venizelos,m,Eleftherios Venizelos
3774,Johan Huizinga,Ёхан Хёйзінга,Йоган Гейзинга,Йохан Хёйзинга,Йохан Хьойзинха,Johan Huizinga,Johan Huizinga,m,Johan Huizinga
3775,Richard Harris,Рычард Харыс,Річард Гарріс,Ричард Харрис,Ричард Харис,Richard Harris,Richard Harris,m,Richard Harris
3776,Mustafa IV,Мустафа IV,Мустафа IV,Мустафа IV,Мустафа IV,Mustafa IV,Mustafa IV,m,Mustafa IV
3777,Aldous Huxley,Олдас Хакслі,Олдос Гакслі,Олдос Хаксли,Олдъс Хъксли,Aldous Huxley,Aldous Huxley,m,Aldous Huxley
3778,Tigranes II,Тыгран II,Тигран II,Тигран II,Тигран II,Tigran Veliki,Tigranés Veliký,m,Tigranes the Great
3779,Srinivasa Ramanujan,Срыніваса Рамануджан,Срініваса Рамануджан,Сриниваса Рамануджан,Сриниваса Рамануджан,Srinivasa Ajangar Ramanudžan,Šrínivása Rámanudžan,m,Srinivasa Ramanujan
3780,Godfrey Harold Hardy,Годфры Харалд Хардзі,Гарольд Ґодфрі,Годфри Харди,Годфри Харолд Харди,Godfrey Harold Hardy,G. H. Hardy,m,G. H. Hardy
3781,Javier Hernández,Хаўер Эрнандэс Балькасар,Ернандес Хав'єр,Хавьер Эрнандес Балькасар,Хавиер Ернандес,Javier Hernández Balcázar,Javier Hernández Balcázar,m,Javier Hernández
3782,Dani Carvajal,Даніэль Карвахаль,Данієль Карвахаль,Дани Карвахаль,Даниел Карвахал,Dani Carvajal,Daniel Carvajal,m,Dani Carvajal
3783,Bela III,Бела III,Бела III,Бела III,Бела III,Béla III,Béla III. Uherský,m,Béla III of Hungary
3784,Eryk XIV Waza,Эрык XIV ,Ерік XIV,Эрик XIV,Ерик XIV,Erik XIV. Švedski,Erik XIV. Švédský,m,Eric XIV of Sweden
3785,David Luiz,Давід Луіс,Давід Луїс,Давид Луис,Давид Луиш,David Luiz,David Luiz,m,David Luiz
3786,Edinson Cavani,Эдынсан Кавані,Едінсон Кавані,Эдинсон Кавани,Единсон Кавани,Edinson Cavani,Edinson Cavani,m,Edinson Cavani
3787,Bela II Ślepy,Бела II,Бела II,Бела II,Бела II,Béla II. Ogrski,Béla II. Uherský,m,Béla II of Hungary
3788,John O’Shea,Джон О’Шы,Джон О'Ші,Джон О’Ши,Джон О'Шей,John O'Shea,John O'Shea,m,John O'Shea
3789,Darron Gibson,Даран Гібсан,Даррон Гібсон,Даррон Гибсон,Дарън Гибсън,Darron Gibson,Darron Gibson,m,Darron Gibson
3790,Polina Żeriebcowa,Паліна Віктараўна Жарабцова,Поліна Жеребцова,Полина Жеребцова,Полина Жеребцова,Polina Žerebcova,Polina Žerebcova,f,Polina Zherebtsova
3791,Leonard Cohen,Леанард Коэн,Леонард Коен,Леонард Коэн,Ленард Коен,Leonard Cohen,Leonard Cohen,m,Leonard Cohen
3792,Adeodat I,Адэадат I ,Адеодат I,Адеодат I,Адеодат I,Papež Adeodat I,Deusdedit,m,Pope Adeodatus I
3793,Stefan V,Стэфан V ,Стефан V ,Стефан V ,Стефан VI,Papež Štefan V,Štěpán V. ,m,Pope Stephen V
3794,Charles Sanders Peirce,Чарльз Сандэрс Пірс,Чарлз Сандерс Пірс,Чарльз Пирс,Чарлс Пърс,Charles Sanders Pierce,Charles Sanders Peirce,m,Charles Sanders Peirce
3795,Claude E. Shannon,Клод Шэнан,Клод Шеннон,Клод Шеннон,Клод Шанън,Claude Elwood Shannon,Claude Shannon,m,Claude Shannon
3796,Michaił Frunze,Міхаіл Васільевіч Фрунзэ,Михайло Фрунзе,Михаил Фрунзе,Михаил Фрунзе,Mihail Frunze,Michail Frunze,m,Mikhail Frunze
3797,Clyde Tombaugh,Клайд Уільям Томба,Клайд Томбо,Клайд Томбо,Клайд Томбо,Clyde William Tombaugh,Clyde Tombaugh,m,Clyde Tombaugh
3798,Skopas,Скопас,Скопас,Скопас,Скопас,Skopas,Skopás,m,Scopas
3799,J.P. Morgan,Джон Пірпант Морган,Джон Морган,Джон Морган,Джон Пирпонт Морган,J.P. Morgan,John Pierpont Morgan,m,J. P. Morgan
3800,William Huggins,Уільям Хагінс,Вільям Гаґґінс,Уильям Хаггинс,Уилям Хъгинс,William Huggins,William Huggins,m,William Huggins
3801,Leo von Caprivi,Леа фон Капрыві,Лео фон Капріві,Лео Каприви,Лео фон Каприви,Georg Leo Caprivi,Leo von Caprivi,m,Leo von Caprivi
3802,Xabi Alonso,Хабі Алонса,Хабі Алонсо,Хаби Алонсо,Шаби Алонсо,Xabi Alonso,Xabi Alonso,m,Xabi Alonso
3803,Simon Pegg,Сайман Пег,Саймон Пегг,Саймон Пегг,Саймън Пег,Simon Pegg,Simon Pegg,m,Simon Pegg
3804,Fernando Muslera,Фернанда Муслера,Фернандо Муслера,Фернандо Муслера,Фернандо Муслера,Fernando Muslera,Fernando Muslera,m,Fernando Muslera
3805,Piotr I ,Педру I ,Педру I ,Педру I ,Педро I ,Pedro I. Brazilski,Petr I. Brazilský,m,Pedro I
3806,Piotr II ,Педру II ,Педру II ,Педру II ,Педро II ,Pedro II. Brazilski,Petr II. Brazilský,m,Pedro II of Brazil
3807,Carlos Tévez,Карлас Тэвес,Карлос Тевес,Карлос Тевес,Карлос Тевес,Carlos Tévez,Carlos Tévez,m,Carlos Tevez
3808,Arvo Pärt,Арва Пярт,Арво Пярт,Арво Пярт,Арво Перт,Arvo Pärt,Arvo Pärt,m,Arvo Pärt
3809,Nani,Нані,Нані ,Нани,Нани,Nani,Nani,m,Nani
3810,Chlodwig II,Хлодвіг II,Хлодвіг II,Хлодвиг II,Хлодвиг II,Klodvik II,Chlodvík II,m,Clovis II
3811,Chlotar III,Хлотар III,Хлотар III,Хлотарь III,Хлотар III,Klotar III,Chlothar III,m,Chlothar III
3812,Chlodwig IV,Хлодвіг IV,Хлодвіг IV,Хлодвиг IV,Хлодвиг IV,Klodvik IV,Chlodvík IV,m,Clovis IV
3813,Howard Carter,Говард Картэр,Говард Картер,Говард Картер,Хауърд Картър,Howard Carter,Howard Carter,m,Howard Carter
3814,Bradley Cooper,Брэдлі Купер,Бредлі Купер,Брэдли Купер,Брадли Купър,Bradley Cooper,Bradley Cooper,m,Bradley Cooper
3815,Ivica Olić,Івіца Оліч,Івиця Олич,Ивица Олич,Ивица Олич,Ivica Olić,Ivica Olić,f,Ivica Olić
3816,Vedran Ćorluka,Ведран Чорлука,Ведран Чорлука,Ведран Чорлука,Ведран Чорлука,Vedran Ćorluka,Vedran Ćorluka,m,Vedran Ćorluka
3817,Luka Modrić,Лука Модрыч,Лука Модрич,Лука Модрич,Лука Модрич,Luka Modrić,Luka Modrić,m,Luka Modrić
3818,Darijo Srna,Дарыя Срна,Дарійо Срна,Дарио Срна,Дарио Сърна,Darijo Srna,Darijo Srna,m,Darijo Srna
3819,Niko Kranjčar,Ніка Краньчар,Ніко Краньчар,Нико Кранчар,Нико Кранчар,Niko Krajnčar,Niko Kranjčar,m,Niko Kranjčar
3820,Mario Mandžukić,Марыа Манджукіч,Маріо Манджукич,Марио Манджукич,Марио Манджукич,Mario Mandžukić,Mario Mandžukić,m,Mario Mandžukić
3821,Gerard Piqué,Жэрар Піке,Жерард Піке,Жерар Пике,Жерар Пике,Gerard Piqué,Gerard Piqué,m,Gerard Piqué
3822,Lucas Leiva,Лукас Лейва,Лукас Лейва,Лукас Лейва,Лукас Лейва,Lucas Leiva,Lucas Leiva,m,Lucas Leiva
3823,Robinho,Рабінью,Робінью,Робиньо,Робиньо,Robinho,Robinho,m,Robinho
3824,Douglas Costa,Доглас Коста,Дуглас Коста,Дуглас Коста,Дъглас Коста,Douglas Costa,Douglas Costa,m,Douglas Costa
3825,Hulk ,Халк ,Галк ,Халк ,Хълк ,Hulk ,Hulk ,m,Hulk
3826,Samuel Eto’o,Самюэль Это’о,Самюель Ето'о,Самюэль Это’о,Самюел Ето'о,Samuel Eto'o,Samuel Eto'o,m,Samuel Eto'o
3827,Víctor Valdés,Віктар Вальдэс,Віктор Вальдес,Виктор Вальдес,Виктор Валдес,Víctor Valdés,Víctor Valdés,m,Víctor Valdés
3828,Marcelo ,Марселу Віейра,Марсело ,Марсело Виейра,Марсело,Marcelo Vieira,Marcelo Vieira,m,Marcelo
3829,Patrice Evra,Патрыс Эўра,Патріс Евра,Патрис Эвра,Патрис Евра,Patrice Evra,Patrice Evra,m,Patrice Evra
3830,Antoine Griezmann,Антуан Грызман,Антуан Грізманн,Антуан Гризманн,Антоан Гризман,Antoine Griezmann,Antoine Griezmann,m,Antoine Griezmann
3831,Keisuke Honda,Кэйсукэ Хонда,Кейсуке Хонда,Кэйсукэ Хонда,Кейсуке Хонда,Keisuke Honda,Keisuke Honda,m,Keisuke Honda
3832,Teoderyk I ,Тэадорых I,Теодорік I ,Теодорих I,Теодерих I,Teodorik I,Theodorich I,m,Theodoric I
3833,Lennart Torstensson,Ленарт Торстэнсан,Леннарт Торстенсон,Леннарт Торстенссон,Ленарт Тощенсон,Lennart Torstenson,Lennart Torstenson,m,Lennart Torstensson
3834,Arsène Wenger,Арсен Венгер,Арсен Венгер,Арсен Венгер,Арсен Венгер,Arsène Wenger,Arsène Wenger,m,Arsène Wenger
3835,Ian Somerhalder,Іэн Самэрхолдэр,Єн Сомерголдер,Иэн Сомерхолдер,Иън Сомърхолдър,Ian Somerhalder,Ian Somerhalder,m,Ian Somerhalder
3836,Carl Gustaf Rehnskiöld,Карл Густаў Рэншэльд,Карл Ґустав Реншильд,Карл Реншильд,Карл Густав Реншьолд,Carl Gustav Rehnskiöld,Carl Gustav Rehnskiöld,m,Carl Gustav Rehnskiöld
3837,Danny Welbeck,Дэні Уэлбек,Денні Велбек,Дэнни Уэлбек,Дани Уелбек,Danny Welbeck,Danny Welbeck,m,Danny Welbeck
3838,Dimityr Berbatow,Дзімітр Бербатаў,Димитар Бербатов,Димитр Бербатов,Димитър Бербатов,Dimitar Berbatov,Dimitar Berbatov,m,Dimitar Berbatov
3839,Mario Balotelli,Марыа Балатэлі,Маріо Балотеллі,Марио Балотелли,Марио Балотели,Mario Balotelli,Mario Balotelli,m,Mario Balotelli
3840,Giorgio Chiellini,Джорджа К’еліні,Джорджо К'єлліні,Джорджо Кьеллини,Джорджо Киелини,Giorgio Chiellini,Giorgio Chiellini,m,Giorgio Chiellini
3841,Federico Balzaretti,Федэрыка Бальдзарэці,Федеріко Бальдзаретті,Федерико Бальдзаретти,Федерико Балдзарети,Federico Balzaretti,Federico Balzaretti,m,Federico Balzaretti
3842,Satoshi Ōmura,Сатосі Омура,Сатосі Омура,Сатоси Омура,Сатоши Омура,Satoši Omura,Satoši Ómura,m,Satoshi Ōmura
3843,Tu Youyou,Ту Юю,Ту Юю,Ту Юю,Ту Йоуйоу,Tu Joujou,Tchu Jou-jou,f,Tu Youyou
3844,William C. Campbell,Уільям Кэмпбэл,Вільям Кемпбелл,Уильям Кэмпбелл,Уилям Кемпбъл,William C. Campbell,William C. Campbell,m,William C. Campbell
3845,Arthur B. McDonald,Артур Мак-Дональд,Артур Макдональд,Артур Макдональд,Артър Макдоналд,Arthur Bruce McDonald,Arthur B. McDonald,m,Arthur B. McDonald
3846,Takaaki Kajita,Такаакі Кадзіта,Такаакі Кадзіта,Такааки Кадзита,Такааки Каджита,Takaaki Kadžita,Takaaki Kadžita,m,Takaaki Kajita
3847,Tomas Lindahl,Томас Ліндаль,Томас Ліндаль,Томас Линдал,Томас Линдал,Tomas Lindahl,Tomas Lindahl,m,Tomas Lindahl
3848,Ángel Di María,Анхель Дзі Марыя,Анхель Ді Марія,Анхель Ди Мария,Анхел Ди Мария,Ángel Di María,Ángel Di María,m,Ángel Di María
3849,Miloš Obilić,Мілаш Абіліч,Мілош Обилич,Милош Обилич,Милош Обилич,Miloš Obilić,Miloš Obilić,m,Miloš Obilić
3850,Hermann Hoth,Герман Гот,Герман Гот,Герман Гот,Херман Хот,Hermann Hoth,Hermann Hoth,m,Hermann Hoth
3851,Ugedej,Угедэй,Уґедей,Угэдэй,Угедей хан,Ögedej,Ögedej,m,Ögedei Khan
3852,Troye Sivan,Трой Сіван,Трой Сіван,Трой Сиван,Трой Сиван,Troye Sivan,Troye Sivan,m,Troye Sivan
3853,Aszurbanipal,Ашурбаніпал,Ашшурбаніпал,Ашшурбанапал,Ашурбанипал,Asurbanipal,Aššurbanipal,m,Ashurbanipal
3854,Thomas Vermaelen,Томас Вермален,Томас Вермален,Томас Вермален,Томас Вермален,Thomas Vermaelen,Thomas Vermaelen,m,Thomas Vermaelen
3855,Justin Trudeau,Джасцін Трудо,Джастін Трюдо,Джастин Трюдо,Джъстин Трюдо,Justin Trudeau,Justin Trudeau,f,Justin Trudeau
3856,Arturo Vidal,Артура Відаль,Артуро Відаль,Артуро Видаль,Артуро Видал,Arturo Vidal,Arturo Vidal,m,Arturo Vidal
3857,Kieran Gibbs,Кіран Гібс,Кірен Гіббз,Киран Гиббс,Кийрън Гибс,Kieran Gibbs,Kieran Gibbs,m,Kieran Gibbs
3858,Laurent Koscielny,Ларан Касельні,Лоран Косельні,Лоран Косельни,Лоран Косиелни,Laurent Koscielny,Laurent Koscielny,m,Laurent Koscielny
3859,Jack Wilshere,Джэк Уілшыр,Джек Вілшир,Джек Уилшир,Джак Уилшър,Jack Wilshere,Jack Wilshere,m,Jack Wilshere
3860,Aaron Ramsey,Ааран Рэмзі,Аарон Ремзі,Аарон Рэмзи,Аарън Рамзи,Aaron Ramsey,Aaron Ramsey,m,Aaron Ramsey
3861,Robert I Bruce,Роберт I ,Роберт I Брюс,Роберт I ,Робърт I ,Robert Bruce,Robert I. Skotský,m,Robert I
3862,Guillaume Marie-Anne Brune,Гільём Мары Ан Брун,Гійом Брюн,Гийом Брюн,Гийом Брюн,Guillaume Marie Anne Brune,Guillaume Marie Anne Brune,m,Guillaume Brune
3863,Charlotte Rampling,Шарлота Рэмплінг,Шарлотта Ремплінґ,Шарлотта Рэмплинг,Шарлот Рамплинг,Charlotte Rampling,Charlotte Rampling,f,Charlotte Rampling
3864,Sargon Wielki,Сарган Старажытны,Саргон Аккадський,Саргон Древний,Саргон Велики,Sargon Akadski,Sargon Akkadský,m,Sargon of Akkad
3865,Almos ,Альмаш ,Алмош,Альмош ,Алмош,Álmoš Madžarski,Almoš,m,Álmos
3866,Awwakum Pietrow,Авакум Пятровіч,Аввакум Петрович,Аввакум Петров,Авакум Петров,Avakum Petrov,Protopop Avvakum,m,Avvakum
3867,Manuel Almunia,Мануэль Альмунія,Мануель Альмунія,Мануэль Альмуния,Мануел Алмуния,Manuel Almunia,Manuel Almunia,m,Manuel Almunia
3868,Freeman Dyson,Фрымен Дайсан,Фрімен Дайсон,Фримен Дайсон,Фриймън Дайсън,Freeman John Dyson,Freeman Dyson,m,Freeman Dyson
3869,Amenemhat II,Аменемхет II,Аменемхет II,Аменемхет II,Аменемхет II,Amenemhet II,Amenemhet II,m,Amenemhat II
3870,Amenemhat III,Аменемхет III,Аменемхет III,Аменемхет III,Аменемхет III,Amenemhet III,Amenemhet III,m,Amenemhat III
3871,Henryk X Pyszny,Генрых X Горды,Генріх Гордий,Генрих X Гордый,Хайнрих Горди,Henrik Ponosni,Jindřich Pyšný,m,Henry X
3872,Henryk IX Czarny,Генрых IX Чорны,Генріх IX Чорний,Генрих IX Чёрный,Хайнрих IX ,Henrik IX,Jindřich IX. Bavorský,m,Henry IX
3873,François Christophe Kellermann,Франсуа Крыстоф Келерман,Франсуа Келлерман,Франсуа Келлерман,Франсоа Келерман,François Christophe de Kellermann,François-Christophe Kellermann,m,François Christophe de Kellermann
3874,Otto von Below,Ота фон Белаў,Отто фон Белов,Отто Белов,Ото фон Белов,Otto von Below,Otto von Below,m,Otto von Below
