,pl,be,uk,ru,bg,sl,cs
3652,Sun Zi,Сунь-цзы,Сунь-дзи,Сунь-цзы,Сун Дзъ,Sundzi,Sun-c’
3653,Douglas MacArthur,Дуглас Мак-Артур,Дуглас Макартур,Дуглас Макартур,Дъглас Макартър,Douglas MacArthur,Douglas MacArthur
3654,William Ockham,У. Окам,Вільям Оккам,Уильям Оккам,Уилям Окам,Vilijem iz Ockhama,William Ockham
3655,Giordano Bruno,Дж. Бруна,Джордано Бруно,Джордано Бруно,Джордано Бруно,Giordano Bruno,Giordano Bruno
3656,George Berkeley ,Дж. Берклі,Джордж Барклі,Джордж Беркли,Джордж Бъркли,George Berkeley,George Berkeley
3657,Rabindranath Tagore,Р. Тагор,Рабіндранат Тагор,Рабиндранат Тагор,Рабиндранат Тагор,Rabindranath Tagore,Rabíndranáth Thákur
3658,Heinrich Böll,Г. Бёль,Генріх Белль,Генрих Бёлль,Хайнрих Бьол,Heinrich Böll,Heinrich Böll
3659,Małgorzata II,Маргрэтэ II,Маргрете II,Маргрете II,Маргрете II,Margareta II. Danska,Markéta II
3660,Fryderyk IX,Фрэдэрык IX,Фредерік IX,Фредерик IX,Фредерик IX,Friderik IX. Danski,Frederik IX
3661,Franz Kafka,Ф. Кафка,Франц Кафка,Франц Кафка,Франц Кафка,Franz Kafka,Franz Kafka
3662,Katullus,Катул,Катулл,Гай Валерий Катулл,Катул,Gaj Valerij Katul,Gaius Valerius Catullus
3663,Piotr I Karadziordziewić,Пётр I Карагеоргіевіч,Петро I Карагеоргієвич,Пётр I Карагеоргиевич,Петър I Караджорджевич,Peter I. Karađorđević,Petr I. Karađorđević
3664,Zenodot z Efezu,Зенадот Эфескі,Зенодот,Зенодот Эфесский,Зенодот Ефески,Zenodot,Zénodotos
3665,Friedrich Wilhelm Joseph von Schelling,Ф. Шэлінг,Вільгельм Фрідріх,Фридрих Шеллинг,Фридрих Вилхелм Йозеф Шелинг,Friedrich Wilhelm Joseph Schelling,Friedrich Schelling
3666,Leszek Kołakowski,Лешак Калакоўскі,Лешек Колаковський,Лешек Колаковский,Лешек Колаковски,Leszek Kołakowski,Leszek Kołakowski
3667,Ludwik Sforza,Ладавіка Сфорца,Людовіко Сфорца,Лодовико Сфорца,Лудовико Мария Сфорца,Ludovico Sforza,Lodovico Sforza
3668,Bertolt Brecht,Б. Брэхт,Бертольт Брехт,Бертольт Брехт,Бертолт Брехт,Bertolt Brecht,Bertolt Brecht
3669,Bertolt Brecht,Брэхт,Бертольт Брехт,Бертольт Брехт,Бертолт Брехт,Bertolt Brecht,Bertolt Brecht
3670,Edgar Allan Poe,Эдгар По,Аллан Едгар,Эдгар По,Едгар Алън По,Edgar Allan Poe,Edgar Allan Poe
3671,Albert II Grimaldi,Альбер ІІ,Альбер II ,Альбер II ,Албер II ,Albert II. Grimaldi,Albert II. Monacký
3672,Albert II Koburg,Альберт ІІ,Альберт II ,Альберт II ,Албер II ,Albert II. Belgijski,Albert II. Belgický
3673,Bono,Bono,Боно,Боно,Боно,Bono,Bono
3674,Bono,Бона ,Боно,Боно,Боно,Bono,Bono
3675,Samuel Beckett,Сэмюэл Бэкет,Семюел Бекет,Сэмюэл Беккет,Самюъл Бекет,Samuel Beckett,Samuel Beckett
3676,Guy de Maupassant,Г. дэ Мапасан,де Гі,Ги Мопассан,Ги дьо Мопасан,Guy de Maupassant,Guy de Maupassant
3677,Guy de Maupassant,Г. Мапасан,де Гі,Ги Мопассан,Ги дьо Мопасан,Guy de Maupassant,Guy de Maupassant
3678,George Orwell,Дж. Оруэл,Джордж Орвелл,Джордж Оруэлл,Джордж Оруел,George Orwell,George Orwell
3679,James Joyce,Дж. Джойс,Джеймс Джойс,Джеймс Джойс,Джеймс Джойс,James Joyce,James Joyce
3680,Jorge Luis Borges,Х. Л. Борхес,Луїс Хорхе,Хорхе Борхес,Хорхе Луис Борхес,Jorge Luis Borges,Jorge Luis Borges
3681,Edgar Allan Poe,Э. По,Аллан Едгар,Эдгар По,Едгар Алън По,Edgar Allan Poe,Edgar Allan Poe
3682,Edgar Allan Poe,Э. А. По,Аллан Едгар,Эдгар По,Едгар Алън По,Edgar Allan Poe,Edgar Allan Poe
3683,Albert Camus,Альбэр Камю,Альбер Камю,Альбер Камю,Албер Камю,Albert Camus,Albert Camus
3684,John Archibald Wheeler,Джон Арчыбальд Уілер,Арчибальд Джон,Джон Уилер,Джон Уилър,John Archibald Wheeler,John Archibald Wheeler
3685,Haakon VII,Хокан VII,Гокон VII,Хокон VII,Хокон VII,Haakon VII. Norveški,Haakon VII
3686,Stephen Hawking,Стывен Хокінг,Стівен Гокінг,Стивен Хокинг,Стивън Хокинг,Stephen Hawking,Stephen Hawking
3687,G. Stanley Hall,Грэнвіл Стэнлі Хол,Стенлі Гренвілл,Грэнвилл Холл,Грандвил Стенли Хол,G. Stanley Hall,Granville Stanley Hall
3688,Árpád Göncz,Арпад Гёнц,Арпад Генц,Арпад Гёнц,Арпад Гьонц,Árpád Göncz,Árpád Göncz
3689,Novak Đoković,Новак Джокавіч,Новак Джокович,Новак Джокович,Новак Джокович,Novak Đoković,Novak Djoković
3690,Vidkun Quisling,В. Квіслінг,Відкун Квіслінг,Видкун Квислинг,Видкун Квислинг,Vidkun Quisling,Vidkun Quisling
3691,Vidkun Quisling,Відкун Квіслінг,Відкун Квіслінг,Видкун Квислинг,Видкун Квислинг,Vidkun Quisling,Vidkun Quisling
3692,Fridtjof Nansen,Ф. Нансен,Фрітьйоф Нансен,Фритьоф Нансен,Фритьоф Нансен,Fridtjof Nansen,Fridtjof Nansen
3693,Albert Einstein,А. Эйнштэйн,Альберт Ейнштейн,Альберт Эйнштейн,Алберт Айнщайн,Albert Einstein,Albert Einstein
3694,Henri Poincaré,Жуль Анры Пуанкарэ,Анрі Пуанкаре,Анри Пуанкаре,Анри Поанкаре,Henri Poincaré,Henri Poincaré
3695,Hayao Miyazaki,Хаяо Міядзакі,Міядзакі Хаяо,Хаяо Миядзаки,Хаяо Миядзаки,Hajao Mijazaki,Hajao Mijazaki
3696,James Clark Ross,Джэймс Кларк Рос,Кларк Джеймс,Джеймс Росс,Джеймс Кларк Рос,James Clark Ross,James Clark Ross
3697,Kathy Bates,Кэці Бэйтс,Кеті Бейтс,Кэти Бэйтс,Кати Бейтс,Kathy Bates,Kathy Batesová
3698,Wat Tyler,Уот Тайлер,Вот Тайлер,Уот Тайлер,Уот Тайлър,Tyler Wat,Wat Tyler
3699,Joe Louis,Джо Луіс,Джо Луїс,Джо Луис,Джо Луис,Joe Louis,Joe Louis
3700,Sławomir Mrożek,Славамір Мрожак,Славомир Мрожек,Славомир Мрожек,Славомир Мрожек,Sławomir Mrożek,Sławomir Mrożek
3701,Karol IV Luksemburski,Карл IV Люксембургскі,Карл IV ,Карл IV ,Карл IV ,Karel IV. Luksemburški,Karel IV
3702,Karol IV Luksemburski,Карл IV,Карл IV ,Карл IV ,Карл IV ,Karel IV. Luksemburški,Karel IV
3703,Jules Verne,Ж. Верн,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne
3704,Edwin Hubble,Эдвін Пауэл Хабл,Едвін Габбл,Эдвин Хаббл,Едуин Хъбъл,Edwin Powell Hubble,Edwin Hubble
3705,Donald Knuth,Дональд Эрвін Кнут,Дональд Кнут,Дональд Кнут,Доналд Кнут,Donald Knuth,Donald Ervin Knuth
3706,Donald Knuth,Дональд Кнут,Дональд Кнут,Дональд Кнут,Доналд Кнут,Donald Knuth,Donald Ervin Knuth
3707,Jean-Baptiste Colbert,Жан-Батыст Кальбер,Жан-Батист Кольбер,Жан-Батист Кольбер,Жан-Батист Колбер,Jean-Baptiste Colbert,Jean-Baptiste Colbert
3708,Guy Fawkes,Гай Фокс,Ґай Фокс,Гай Фокс,Гай Фокс,Guy Fawkes,Guy Fawkes
3709,Fabian ,Фабіян ,Фабіан,Фабиан ,Фабиан,Papež Fabijan,Svatý Fabián
3710,Anteros ,Антэр ,Антер,Антер ,Антер,Papež Anter,Anterus
3711,Armand Jean Richelieu,Арман Жан дзю Плесі дэ Рышэльё,Кардинал Рішельє,Арман Ришельё,Арман Жан дю Плеси дьо Ришельо,Armand Jean du Plessis de Richelieu,Armand-Jean du Plessis de Richelieu
3712,John Harrison,Джон Гарысан,Джон Гаррісон,Джон Гаррисон,Джон Харисън,John Harrison,John Harrison
3713,Ernest Rutherford,Э. Рэзерфорд,Ернест Резерфорд,Эрнест Резерфорд,Ърнест Ръдърфорд,Ernest Rutherford,Ernest Rutherford
3714,Henry Cavendish,Генры Кавендыш,Генрі Кавендіш,Генри Кавендиш,Хенри Кавендиш,Henry Cavendish,Henry Cavendish
3715,Maria Callas,Марыя Калас,Марія Каллас,Мария Каллас,Мария Калас,Maria Callas,Maria Callasová
3716,Ahmed Szah Abdali,Ахмад-шах Дурані,Ахмед-шах Абдалі,Ахмад-шах Дуррани,Ахмад Шах Дурани,Ahmed Durani,Ahmad Šáh Durrání
3717,Ahmed Szah Abdali,Ахмад-шах Абдалі,Ахмед-шах Абдалі,Ахмад-шах Дуррани,Ахмад Шах Дурани,Ahmed Durani,Ahmad Šáh Durrání
3718,Tacyt ,Тацыт,Тацит ,Тацит ,Марк Клавдий Тацит,Mark Klavdij Tacit,Tacitus 
3719,Decjusz ,Траян Дэцый,Децій,Деций Траян,Деций Траян,Decij,Decius
3720,Maksymian,Максіміян Геркулій,Максиміан,Максимиан,Максимиан,Maksimijan,Maximianus
3721,Mirzə Fətəli Axundov,Мірза Фаталі Ахундаў,Мірза Ахундов,Мирза Ахундов,Мирза Ахундов,Mirza Fatali Ahundov,Mirzə Fətəli Axundov
3722,Publiusz Korneliusz Tacyt,Публій Карнелій Тацыт,Тацит,Публий Корнелий Тацит,Публий Корнелий Тацит,Publij Kornelij Tacit,Tacitus
3723,Publiusz Korneliusz Tacyt,Тацыт,Тацит,Публий Корнелий Тацит,Публий Корнелий Тацит,Publij Kornelij Tacit,Tacitus
3724,Kasjusz Dion,Дыян Касій,Діон Кассій,Дион Кассий,Дион Касий,Kasij Dion,Cassius Dio
3725,Kasjusz Dion,Касій Дыян,Діон Кассій,Дион Кассий,Дион Касий,Kasij Dion,Cassius Dio
3726,Gottfried Wilhelm Leibniz,Готфрыд Вільгельм Лейбніц,Вільгельм Готфрід,Готфрид Лейбниц,Готфрид Лайбниц,Gottfried Wilhelm Leibniz,Gottfried Wilhelm Leibniz
3727,Kiro Gligorow,Кіра Глігараў,Киро Глигоров,Киро Глигоров,Киро Глигоров,Kiro Gligorov,Kiro Gligorov
3728,David Beckham,Дэвід Бекхэм,Девід Бекхем,Дэвид Бекхэм,Дейвид Бекъм,David Beckham,David Beckham
3729,Nikołaj Żukowski,Мікалай Ягоравіч Жукоўскі,Микола Жуковський,Николай Жуковский,Николай Жуковски,Nikolaj Jegorovič Žukovski,Nikolaj Jegorovič Žukovskij
3730,Nikołaj Żukowski,Мікалай Жукоўскі,Микола Жуковський,Николай Жуковский,Николай Жуковски,Nikolaj Jegorovič Žukovski,Nikolaj Jegorovič Žukovskij
3731,Antoine de Saint-Exupéry,А. дэ Сент-Экзюперы,де Антуан,Антуан Сент-Экзюпери,Антоан дьо Сент-Екзюпери,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry
3732,William Faulkner,У. Фолкнер,Вільям Фолкнер,Уильям Фолкнер,Уилям Фокнър,William Faulkner,William Faulkner
3733,Sigmund Freud,Фрэйд,Зигмунд Фрейд,Зигмунд Фрейд,Зигмунд Фройд,Sigmund Freud,Sigmund Freud
3734,Serj Tankian,Серж Танкян,Серж Танкян,Серж Танкян,Серж Танкян,Serj Tankian,Serj Tankian
3735,Aleksandr Borodin,Аляксандр Парфіравіч Барадзін,Олександр Бородін,Александр Бородин,Александър Бородин,Aleksander Borodin,Alexandr Porfirjevič Borodin
3736,Sylvester Stallone,Сільвестэр Сталоне,Сильвестр Сталлоне,Сильвестр Сталлоне,Силвестър Сталоун,Sylvester Stallone,Sylvester Stallone
3737,Milij Bałakiriew,Мілій Аляксеевіч Балакіраў,Милій Балакірєв,Милий Балакирев,Милий Балакирев,Milij Balakirjev,Milij Alexejevič Balakirev
3738,Jerzy Czarny,Карагеоргій,Карагеоргій,Карагеоргий,Карагеорги Петрович,Đorđe Petrović,Karađorđe Petrović
3739,Tales z Miletu,Фалес,Фалес,Фалес Милетский,Талес,Tales,Thalés z Milétu
3740,Laura Pausini,Лаура Паўзіні,Лаура Паузіні,Лаура Паузини,Лаура Паузини,Laura Pausini,Laura Pausini
3741,Benny Hill,Бэні Хіл,Бенні Гілл,Бенни Хилл,Бени Хил,Benny Hill,Benny Hill
3742,Siemion Dieżniow,Сямён Іванавіч Дзяжнёў,Семен Дежньов,Семён Дежнёв,Семьон Дежньов,Semjon Ivanovič Dežnjov,Semjon Ivanovič Děžňov
3743,Robert Bunsen,Роберт Вільгельм Бунзен,Вільгельм Роберт,Роберт Бунзен,Роберт Бунзен,Robert Wilhelm Bunsen,Robert Wilhelm Bunsen
3744,Robert Bunsen,Роберт Бунзен,Вільгельм Роберт,Роберт Бунзен,Роберт Бунзен,Robert Wilhelm Bunsen,Robert Wilhelm Bunsen
3745,Bartłomiej Apostoł,Апостал Варфаламей,Варфоломій ,Апостол Варфоломей,Вартоломей ,Sveti Jernej,Bartoloměj 
3746,Bartłomiej Apostoł,Варфаламей,Варфоломій ,Апостол Варфоломей,Вартоломей ,Sveti Jernej,Bartoloměj 
3747,Siergiej Wawiłow,Сяргей Іванавіч Вавілаў,Сергій Вавилов,Сергей Вавилов,Сергей Вавилов,Sergej Ivanovič Vavilov,Sergej Vavilov
3748,Nikołaj Wawiłow,Мікалай Іванавіч Вавілаў,Микола Вавилов,Николай Вавилов,Николай Вавилов,Nikolaj Ivanovič Vavilov,Nikolaj Vavilov
3749,Jean-Baptiste Lully,Жан-Батыст Люлі,Батіст Жан,Жан-Батист Люлли,Жан-Батист Люли,Jean-Baptiste Lully,Jean-Baptiste Lully
3750,Fabian Bellingshausen,Фадзей Фадзеевіч Белінсгаўзен,Фадей Беллінсгаузен,Фаддей Беллинсгаузен,Фадей Белингсхаузен,Fabian Gottlieb von Bellingshausen,Fadděj Faddějevič Bellingshausen
3751,Fabian Bellingshausen,Фадзей Белінсгаўзен,Фадей Беллінсгаузен,Фаддей Беллинсгаузен,Фадей Белингсхаузен,Fabian Gottlieb von Bellingshausen,Fadděj Faddějevič Bellingshausen
3752,Thomas Paine,Томас Пейн,Томас Пейн,Томас Пейн,Томас Пейн,Thomas Paine,Thomas Paine
3753,Ferdinand Porsche,Фердынанд Поршэ,Фердинанд Порше,Фердинанд Порше,Фердинанд Порше,Ferdinand Porsche,Ferdinand Porsche
3754,Leon IV Chazar,Леў IV Хазар,Лев IV Хозар,Лев IV Хазар,Лъв IV ,Leon IV. Hazar,Leon IV. Chazar
3755,Roberto Carlos ,Раберта Карлас да Сільва,Роберто Карлос,Роберто Карлос,Роберто Карлош,Roberto Carlos,Roberto Carlos
3756,Lise Meitner,Лізэ Майтнер,Ліза Майтнер,Лиза Мейтнер,Лиза Майтнер,Lise Meitner,Lise Meitnerová
3757,Andre Agassi,Андрэ Агасі,Андре Агассі,Андре Агасси,Андре Агаси,Andre Agassi,Andre Agassi
3758,José Mourinho,Жазэ Маўрынью,Жозе Моурінью,Жозе Моуринью,Жозе Моуриньо,José Mourinho,José Mourinho
3759,Jakub I Stuart,Якаў VI,Яків I ,Яков I ,Джеймс I ,Jakob I. Angleški,Jakub I. Stuart
3760,Mikołaj Kopernik,Капернік,Миколай Коперник,Николай Коперник,Николай Коперник,Nikolaj Kopernik,Mikuláš Koperník
3761,Trygve Lie,Тругве Лі,Гальвдан Трюгве,Трюгве Ли,Трюгве Ли,Trygve Lie,Trygve Lie
3762,Louis de Funès,Луі дэ Фюнес,де Луї,Луи Фюнес,Луи дьо Фюнес,Louis de Funès,Louis de Funès
3763,Boris Spasski,Барыс Васільевіч Спаскі,Борис Спаський,Борис Спасский,Борис Спаски,Boris Spaski,Boris Spasskij
3764,Boris Spasski,Барыс Спаскі,Борис Спаський,Борис Спасский,Борис Спаски,Boris Spaski,Boris Spasskij
3765,Carl Gustaf Mannerheim,Карл Густаў Эміль Манергейм,Густав Карл,Карл Маннергейм,Карл Густав Манерхейм,Carl Gustaf Emil Mannerheim,Carl Gustaf Emil Mannerheim
3766,Charles Darwin,Ч. Дарвін,Чарлз Дарвін,Чарлз Дарвин,Чарлз Дарвин,Charles Darwin,Charles Darwin
3767,Theodore William Richards,Тэадор Уільям Рычардс,Вільям Теодор,Теодор Ричардс,Теодор Ричардс,Theodore William Richards,Theodore William Richards
3768,Nina Simone,Ніна Сімон,Ніна Сімон,Нина Симон,Нина Симон,Nina Simone,Nina Simone
3769,Duke Ellington,Дзюк Элінгтан,Дюк Еллінгтон,Дюк Эллингтон,Дюк Елингтън,Duke Ellington,Duke Ellington
3770,Robert Pirès,Рабэр Пірэс,Робер Пірес,Робер Пирес,Робер Пирес,Robert Pirès,Robert Pirès
3771,Lothar Matthäus,Лотар Херберт Матэус,Лотар Маттеус,Лотар Маттеус,Лотар Матеус,Lothar Matthäus,Lothar Matthäus
3772,Sepp Maier,Ёзаф Дзітэр Маер,Зепп Маєр,Зепп Майер,Сеп Майер,Sepp Maier,Sepp Maier
3773,Tina Turner,Ціна Цёрнер,Тіна Тернер,Тина Тёрнер,Тина Търнър,Tina Turner,Tina Turner
3774,David Bowie,Дэвід Боўі,Девід Бові,Дэвид Боуи,Дейвид Боуи,David Bowie,David Bowie
3775,Stefan Batory,Стэфан Баторы,Стефан Баторій,Стефан Баторий,Стефан Батори,Štefan Báthory,Štěpán Báthory
3776,Vitus Bering,В. Берынг,Вітус Беринг,Витус Беринг,Витус Беринг,Vitus Bering,Vitus Bering
3777,Girolamo Cardano,Джыролама Кардана,Джироламо Кардано,Джероламо Кардано,Джироламо Кардано,Gerolamo Cardano,Gerolamo Cardano
3778,Katharine Hepburn,Кэтрын Хепбёрн,Кетрін Гепберн,Кэтрин Хепбёрн,Катрин Хепбърн,Katharine Hepburn,Katharine Hepburnová
3779,Julie Andrews,Джулі Эндрус,Джулія Ендрюс,Джули Эндрюс,Джули Андрюс,Julie Andrews,Julie Andrewsová
3780,Thomas Henry Huxley,Huxley,Генрі Томас,Томас Гексли,Томас Хъксли,Thomas Henry Huxley,Thomas Henry Huxley
3781,Georg Trakl,Георг Тракль,Георг Тракль,Георг Тракль,Георг Тракъл,Georg Trakl,Georg Trakl
3782,Arthur Wellesley ,Артур Уэлслі,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley
3783,Giovanni Lorenzo Bernini,Берніні,Лоренцо Берніні,Джованни Бернини,Джовани Лоренцо Бернини,Gian Lorenzo Bernini,Gian Lorenzo Bernini
3784,Giovanni Lorenzo Bernini,Джавані Ларэнца Берніні,Лоренцо Берніні,Джованни Бернини,Джовани Лоренцо Бернини,Gian Lorenzo Bernini,Gian Lorenzo Bernini
3785,Giulio Romano,Джуліо Рамана,Джуліо Романо,Джулио Романо,Джулио Романо,Giulio Romano,Giulio Romano
3786,Dieter Bohlen,Дзітэр Болен,Дітер Болен,Дитер Болен,Дитер Болен,Dieter Bohlen,Dieter Bohlen
3787,Vuk Karadžić,Вук Стэфанавіч Караджыч,Вук Караджич,Вук Караджич,Вук Караджич,Vuk Stefanović Karadžić,Vuk Stefanović Karadžić
3788,Vuk Karadžić,Вук Караджыч,Вук Караджич,Вук Караджич,Вук Караджич,Vuk Stefanović Karadžić,Vuk Stefanović Karadžić
3789,Emma Thompson,Эма Томпсан,Емма Томпсон,Эмма Томпсон,Ема Томпсън,Emma Thompson,Emma Thompsonová
3790,Holly Hunter,Холі Хантэр,Голлі Гантер,Холли Хантер,Холи Хънтър,Holly Hunter,Holly Hunter
3791,Olivia de Havilland,Алівія дэ Хэвіленд,де Олівія,Оливия Де Хэвилленд,Оливия де Хавиланд,Olivia de Havilland,Olivia de Havilland
3792,Siergiej Jesienin,С. Ясенін,Сергій Єсенін,Сергей Есенин,Сергей Есенин,Sergej Aleksandrovič Jesenin,Sergej Alexandrovič Jesenin
3793,Joanne Woodward,Джаан Вудвард,Джоан Вудворд,Джоан Вудворд,Джоан Удуърд,Joanne Woodward,Joanne Woodwardová
3794,Judi Dench,Джудзі Дэнч,Джуді Денч,Джуди Денч,Джуди Денч,Judi Dench,Judi Denchová
3795,Ulf von Euler,Ульф фон Эйлер,фон Ульф,Ульф Эйлер,Улф фон Ойлер,Ulf von Euler,Ulf von Euler
3796,Jeremy Irons,Джэрэмі Айранс,Джеремі Айронс,Джереми Айронс,Джеръми Айрънс,Jeremy Irons,Jeremy Irons
3797,Robert Duvall,Роберт Дзюваль,Роберт Дюваль,Роберт Дюваль,Робърт Дювал,Robert Duvall,Robert Duvall
3798,F. Murray Abraham,Фарыд Мюрэй Абрахам,Мюррей Фарід,Ф. Абрахам,Ф. Мъри Ейбрахам,Fahrid Murray Abraham,F. Murray Abraham
3799,Martin Buber,Марцін Бубер,Мартин Бубер,Мартин Бубер,Мартин Бубер,Martin Buber,Martin Buber
3800,Franz Marc,Франц Марк,Франц Марк,Франц Марк,Франц Марк,Franz Marc,Franz Marc
3801,Ben Kingsley,Бен Кінгслі,Бен Кінгслі,Бен Кингсли,Бен Кингсли,Ben Kingsley,Ben Kingsley
3802,Konrad Salicki,Конрад II ,Конрад ,Конрад ,Конрад II ,Konrad  Nemški,Konrád Francký
3803,Omar Bradley,Амар Брэдлі,Омар Бредлі,Омар Брэдли,Омар Брадли,Omar Nelson Bradley,Omar Bradley
3804,Immanuel Kant,Кант,Іммануїл Кант,Иммануил Кант,Имануел Кант,Immanuel Kant,Immanuel Kant
3805,Pliniusz Młodszy,Пліній Малодшы,Пліній Молодший,Плиний Младший,Плиний Млади,Plinij mlajši,Plinius mladší
3806,Boris Pasternak,Барыс Пастарнак,Борис Пастернак,Борис Пастернак,Борис Пастернак,Boris Leonidovič Pasternak,Boris Leonidovič Pasternak
3807,Dagobert III,Дагаберт III,Дагоберт III,Дагоберт III,Дагоберт III,Dagobert III,Dagobert III
3808,William Tecumseh Sherman,Уільям Тэкумсэ Шэрман,Вільям Шерман,Уильям Шерман,Уилям Шърман,William Tecumseh Sherman,William Tecumseh Sherman
3809,John Pershing,Джон Першынг,Джон Першинг,Джон Першинг,Джон Пършинг,John J. Pershing,John J. Pershing
3810,Mark Spitz,Марк Спіц,Марк Шпіц,Марк Спитц,Марк Шпиц,Mark Spitz,Mark Spitz
3811,Paavo Nurmi,Паава Нурмі,Пааво Нурмі,Пааво Нурми,Пааво Нурми,Paavo Nurmi,Paavo Nurmi
3812,Hulagu-chan,Хулагу,Хулагу,Хулагу,Хулагу хан,Hulegu,Hülegü
3813,Carl Lewis,Карл Льюіс,Карл Льюїс,Карл Льюис,Карл Люис,Carl Lewis,Carl Lewis
3814,Michael Phelps,Майкл Фелпс,Майкл Фелпс,Майкл Фелпс,Майкъл Фелпс,Michael Phelps,Michael Phelps
3815,Johann Wolfgang von Goethe,Ё. В. Гётэ,Йоганн Вольфганг фон Гете,Иоганн Гёте,Йохан Волфганг фон Гьоте,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
3816,Whitney Houston,Уітні Х’юстан,Вітні Г'юстон,Уитни Хьюстон,Уитни Хюстън,Whitney Houston,Whitney Houston
3817,Adele,Адэль ,Адель ,Адель ,Адел,Adele,Adele
3818,Amy Winehouse,Эмі Уайнхаўс,Емі Вайнгауз,Эми Уайнхаус,Ейми Уайнхаус,Amy Winehouse,Amy Winehouse
3819,Annie Lennox,Эні Ленакс,Енні Леннокс,Энни Леннокс,Ани Ленъкс,Annie Lennox,Annie Lennox
3820,Bolesław Prus,Б. Прус,Болеслав Прус,Болеслав Прус,Болеслав Прус,Bolesław Prus,Bolesław Prus
3821,Hans Memling,Ганс Мемлінг,Ганс Мемлінг,Ганс Мемлинг,Ханс Мемлинг,Hans Memling,Hans Memling
3822,Dolores O’Riordan,Далорэс О’Рыардан,Долорес О'Ріордан,Долорес О’Риордан,Долорес О’Риърдън,Dolores O'Riordan,Dolores O'Riordanová
3823,Marc Chagall,Марк Захаравіч Шагал,Марк Шагал,Марк Шагал,Марк Шагал,Marc Chagall,Marc Chagall
3824,Amy Lee,Эмі Лі,Емі Лі,Эми Ли,Ейми Лий,Amy Lee,Amy Lee
3825,Deryck Whibley,Дэрык Уіблі,Дерик Віблі,Дерик Уибли,Дерик Уибли,Deryck Whibley,Deryck Whibley
3826,Dante Gabriel Rossetti,Дантэ Габрыэл Расеці,Габрієль Данте,Данте Россетти,Данте Габриел Росети,Dante Gabriel Rossetti,Dante Gabriel Rossetti
3827,Robert Gates,Роберт Майкл Гейтс,Роберт Гейтс,Роберт Гейтс,Робърт Гейтс,Robert Gates,Robert Gates
3828,Dante Gabriel Rossetti,Дантэ Габрыел Расеці,Габрієль Данте,Данте Россетти,Данте Габриел Росети,Dante Gabriel Rossetti,Dante Gabriel Rossetti
3829,Dante Gabriel Rossetti,Дантэ Габрыель Расеці,Габрієль Данте,Данте Россетти,Данте Габриел Росети,Dante Gabriel Rossetti,Dante Gabriel Rossetti
3830,Kwame Nkrumah,Кваме Нкрума,Кваме Нкрума,Кваме Нкрума,Кваме Нкрума,Kwame Nkrumah,Kwame Nkrumah
3831,Mateusz Ewangelista,Мацей,Матвій ,Левий Матфей,Матей ,Sveti Matej,Matouš 
3832,Anastacia,Anastacia,Анастейша,Анастейша,Анастейша,Anastacia,Anastacia
3833,Justynian I Wielki,Юсцініян,Юстиніан I,Юстиниан I,Юстиниан I,Justinijan I,Justinián I
3834,Justynian I Wielki,Юстыніян,Юстиніан I,Юстиниан I,Юстиниан I,Justinijan I,Justinián I
3835,Bartolomeo Ammannati,Барталамеа Аманаці,Бартоломео Амманаті,Бартоломео Амманати,Бартоломео Аманати,Bartolomeo Ammanati,Bartolomeo Ammanati
3836,Giorgio Vasari,Вазары,Джорджо Вазарі,Джорджо Вазари,Джорджо Вазари,Giorgio Vasari,Giorgio Vasari
3837,Klemens VII ,Клемент VII,Климент VII,Климент VII,Климент VII,Papež Klemen VII,Klement VII
3838,Ludwik XII,Людовік XII,Людовик XII,Людовик XII,Луи XII,Ludvik XII. Francoski,Ludvík XII
3839,Szota Rustaweli,Ш. Руставелі,Шота Руставелі,Шота Руставели,Шота Руставели,Šota Rustaveli,Šota Rustaveli
3840,Fryderyk August I,Фрыдрых Аўгуст I ,Фрідріх Август І ,Фридрих Август I ,Фридрих Август I ,Friderik Avgust I. Saški,Fridrich August I. Saský
3841,Konrad Salicki,Конрад,Конрад ,Конрад ,Конрад II ,Konrad  Nemški,Konrád Francký
3842,Enver Hoxha,Энвер Ходжа,Енвер Ходжа,Энвер Ходжа,Енвер Ходжа,Enver Hoxha,Enver Hodža
3843,Mateusz Ewangelista,Матфей ,Матвій ,Левий Матфей,Матей ,Sveti Matej,Matouš 
3844,Carl Gustav Jakob Jacobi,Карл Густаў Якаб Якобі,Карл Густав Якоб Якобі,Карл Якоби,Карл Густав Якоб Якоби,Carl Gustav Jakob Jacobi,Carl Gustav Jacob Jacobi
3845,Carl Gustav Jakob Jacobi,Карл Якобі,Карл Густав Якоб Якобі,Карл Якоби,Карл Густав Якоб Якоби,Carl Gustav Jakob Jacobi,Carl Gustav Jacob Jacobi
3846,François Viète,Франсуа Віет,Франсуа Вієт,Франсуа Виет,Франсоа Виет,François Viète,François Viète
3847,Oliver Heaviside,Олівер Хэвісайд,Олівер Гевісайд,Оливер Хевисайд,Оливър Хевисайд,Oliver Heaviside,Oliver Heaviside
