,pl,be,uk,ru,bg,sl,cs
824,Włodzimierz I Wielki,Уладзімір I,Володимир Святославич,Владимир Святославич,Владимир I,Vladimir I. Kijevski,Vladimír I
825,John Frusciante,Джон Фрусчантэ,Джон Фрушанте,Джон Фрушанте,Джон Фрушанте,John Frusciante,John Frusciante
826,Angela Merkel,Ангела Меркель,Ангела Меркель,Ангела Меркель,Ангела Меркел,Angela Merkel,Angela Merkelová
827,Helmut Kohl,Гельмут Коль,Гельмут Коль,Гельмут Коль,Хелмут Кол,Helmut Kohl,Helmut Kohl
828,Gerhard Schröder,Герхард Шродэр,Герхард Шредер,Герхард Шрёдер,Герхард Шрьодер,Gerhard Schröder,Gerhard Schröder
829,Konrad Adenauer,Конрад Адэнаўэр,Конрад Аденауер,Конрад Аденауэр,Конрад Аденауер,Konrad Adenauer,Konrad Adenauer
830,Willy Brandt,Вілі Брант,Віллі Брандт,Вилли Брандт,Вили Бранд,Willy Brandt,Willy Brandt
831,Helmut Schmidt,Гельмут Шміт,Гельмут Шмідт,Гельмут Шмидт,Хелмут Шмит,Helmut Schmidt,Helmut Schmidt
832,Mikołaj z Kuzy,Мікалай Кузанскі,Микола Кузанський,Николай Кузанский,Николай Кузански,Nikolaj Kuzanski,Mikuláš Kusánský
833,Otto von Bismarck,Бісмарк,фон Отто,Отто Бисмарк,Ото фон Бисмарк,Otto von Bismarck,Otto von Bismarck
834,Georg Wilhelm Friedrich Hegel,Георг Вільгельм Фрыдрых Гегель,Георг Вільгельм Фрідріх Гегель,Георг Гегель,Георг Вилхелм Фридрих Хегел,Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich Hegel
835,Adolf Hitler,Гітлер,Адольф Гітлер,Адольф Гитлер,Адолф Хитлер,Adolf Hitler,Adolf Hitler
836,Georg Wilhelm Friedrich Hegel,Гегель,Георг Вільгельм Фрідріх Гегель,Георг Гегель,Георг Вилхелм Фридрих Хегел,Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich Hegel
837,Friedrich Nietzsche,Фрыдрых Вільгельм Ніцшэ,Фрідріх Ніцше,Фридрих Ницше,Фридрих Ницше,Friedrich Nietzsche,Friedrich Nietzsche
838,Georg Wilhelm Friedrich Hegel,Георг Гегель,Георг Вільгельм Фрідріх Гегель,Георг Гегель,Георг Вилхелм Фридрих Хегел,Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich Hegel
839,Friedrich Nietzsche,Фрыдрых Ніцшэ,Фрідріх Ніцше,Фридрих Ницше,Фридрих Ницше,Friedrich Nietzsche,Friedrich Nietzsche
840,Friedrich Nietzsche,Ф. Ніцшэ,Фрідріх Ніцше,Фридрих Ницше,Фридрих Ницше,Friedrich Nietzsche,Friedrich Nietzsche
841,Georg Wilhelm Friedrich Hegel,Г. Гегель,Георг Вільгельм Фрідріх Гегель,Георг Гегель,Георг Вилхелм Фридрих Хегел,Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich Hegel
842,Mikołaj z Kuzy,М. Кузанскі,Микола Кузанський,Николай Кузанский,Николай Кузански,Nikolaj Kuzanski,Mikuláš Kusánský
843,Richard Wagner,Рыхард Вагнер,Ріхард Вагнер,Рихард Вагнер,Рихард Вагнер,Richard Wagner,Richard Wagner
844,Wład Palownik,У. Дракула,Влад III Дракула,Влад III Цепеш,Влад Цепеш,Vlad III. Drakula,Vlad III. Dracula
845,Konrad Adenauer,Адэнаўэр,Конрад Аденауер,Конрад Аденауэр,Конрад Аденауер,Konrad Adenauer,Konrad Adenauer
846,Nikołaj Gogol,Мікалай Васільевіч Гогаль,Микола Гоголь,Николай Гоголь,Николай Гогол,Nikolaj Vasiljevič Gogolj,Nikolaj Vasiljevič Gogol
847,Nikołaj Gogol,Мікалай Гогаль,Микола Гоголь,Николай Гоголь,Николай Гогол,Nikolaj Vasiljevič Gogolj,Nikolaj Vasiljevič Gogol
848,Wasyl I,Васіль I Дзмітрыевіч,Василь I Дмитрович,Василий I Дмитриевич,Василий I ,Vasilij I. Dimitrijevič,Vasilij I
849,Dymitr Doński,Дзмітрый Данскі,Дмитро Донський,Дмитрий Иванович Донской,Дмитрий Донски,Dimitrij Donski,Dmitrij Donský
850,Borys Godunow,Барыс Фёдаравіч Гадуноў,Борис Годунов,Борис Годунов,Борис Годунов,Boris Godunov,Boris Fjodorovič Godunov
851,Borys Godunow,Барыс Гадуноў,Борис Годунов,Борис Годунов,Борис Годунов,Boris Godunov,Boris Fjodorovič Godunov
852,Nikołaj Gogol,М. Гогаль,Микола Гоголь,Николай Гоголь,Николай Гогол,Nikolaj Vasiljevič Gogolj,Nikolaj Vasiljevič Gogol
853,Nikołaj Gogol,Гогаль,Микола Гоголь,Николай Гоголь,Николай Гогол,Nikolaj Vasiljevič Gogolj,Nikolaj Vasiljevič Gogol
854,Albrecht Dürer,Альбрэхт Дзюрэр,Альбрехт Дюрер,Альбрехт Дюрер,Албрехт Дюрер,Albrecht Dürer,Albrecht Dürer
855,Albrecht Dürer,А. Дзюрэр,Альбрехт Дюрер,Альбрехт Дюрер,Албрехт Дюрер,Albrecht Dürer,Albrecht Dürer
856,Filippo Brunelleschi,Філіпа Брунелескі,Філіппо Брунеллескі,Филиппо Брунеллески,Филипо Брунелески,Filippo Brunelleschi,Filippo Brunelleschi
857,Giordano Bruno,Джардана Бруна,Джордано Бруно,Джордано Бруно,Джордано Бруно,Giordano Bruno,Giordano Bruno
858,Iwan IV Groźny,Іван IV,Іван IV Грозний,Иван Грозный,Иван IV,Ivan IV. Vasiljevič Grozni,Ivan IV. Hrozný
859,Filippo Brunelleschi,Брунелескі,Філіппо Брунеллескі,Филиппо Брунеллески,Филипо Брунелески,Filippo Brunelleschi,Filippo Brunelleschi
